id,nome,orgao_superior
"-9","NÃO SE APLICA","-9"
"-8","NÃO INFORMADO","-8"
"-7","INVÁLIDO","-7"
"1000","CAMARA DOS DEPUTADOS","1000"
"1901","FUNDO ROTATIVO DA CAMARA DOS DEPUTADOS","1000"
"2000","SENADO FEDERAL","2000"
"2001","FUNDO ESPECIAL DO SENADO FEDERAL","2000"
"2002","SENADO FEDERAL/FUNSEEP","2000"
"2003","FUNDO DA SECRETARIA ESPECIAL DE INFORMATICA","2000"
"3000","TRIBUNAL DE CONTAS DA UNIAO","3000"
"10000","SUPREMO TRIBUNAL FEDERAL","10000"
"11000","SUPERIOR TRIBUNAL DE JUSTICA","11000"
"12000","JUSTICA FEDERAL","12000"
"12800","JUSTICA FEDERAL","12000"
"12801","TRIBUNAL REGIONAL FEDERAL - 1A REGIAO","12000"
"12802","TRIBUNAL REGIONAL FEDERAL - 2A REGIAO","12000"
"12803","TRIBUNAL REGIONAL FEDERAL - 3A REGIAO","12000"
"12804","TRIBUNAL REGIONAL FEDERAL - 4A REGIAO","12000"
"12805","TRIBUNAL REGIONAL FEDERAL - 5A REGIAO","12000"
"13000","JUSTICA MILITAR","13000"
"14000","JUSTICA ELEITORAL","14000"
"14001","FUNDO ESPECIAL DE ASSIST.FINANC.PART.POLITICO","14000"
"14105","TRIBUNAL REGIONAL ELEITORAL DA BAHIA","14000"
"14109","TRIBUNAL REGIONAL ELEITORAL DE GOIAS","14000"
"14113","TRIBUNAL REGIONAL ELEITORAL DE MINAS GERAIS","14000"
"14126","TRIBUNAL REGIONAL ELEITORAL DE TOCANTINS","14000"
"15000","JUSTICA DO TRABALHO","15000"
"16000","JUSTICA DO DISTRITO FEDERAL E DOS TERRITORIOS","16000"
"17000","CONSELHO NACIONAL DE JUSTIÇA","17000"
"20000","PRESIDENCIA DA REPÚBLICA","20000"
"20101","PRESIDÊNCIA DA REPÚBLICA","20101"
"20102","GABINETE DA VICE-PRESIDENCIA DA REPUBLICA","20116"
"20103","MINISTERIO ADM.FED.REFORMA ESTADO-EM EXTINCAO","20103"
"20104","SECRETARIA DE ASSUNTOS ESTRATEGICOS","20116"
"20105","GABINETE DA VICE-PRESIDENCIA DA REPUBLICA","20116"
"20113","MINISTERIO DO PLANEJAMENTO,ORCAMENTO E GESTAO","20113"
"20114","ADVOCACIA-GERAL DA UNIAO","20000"
"20115","SECRETARIA ESPECIAL DE POLITICAS REGIONAIS","20101"
"20116","FUNDO DE IMPRENSA NACIONAL","20116"
"20117","Fundo Nacional Antidrogas","20000"
"20121","SECRETARIA DE DIREITOS HUMANOS DA PRESIDÊNCIA DA REPÚBLICA","20000"
"20122","SECRETARIA ESPECIAL DE POLÍTICAS PARA AS MULHERES","20000"
"20125","CONTROLADORIA-GERAL DA UNIAO","20125"
"20126","SECRETARIA DE POLÍTICAS DE PROMOÇÃO DA IGUALDADE RACIAL","20000"
"20128","SECRETARIA ESPECIAL DE PORTOS/PR","20116"
"20202","FUNDACAO ESCOLA NACIONAL DE ADM. PUBLICA","20113"
"20203","AGENCIA NACIONAL DO CINEMA","42000"
"20214","AGÊNCIA NACIONAL DE AVIAÇÃO CIVIL","20000"
"20301","COMISSAO NACIONAL DE ENERGIA NUCLEAR","24000"
"20302","NUCLEBRAS EQUIPAMENTOS PESADOS S/A","24000"
"20303","INDUSTRIAS NUCLEARES DO BRASIL S/A","24000"
"20402","AGENCIA ESPACIAL BRASILEIRA - AEB","24000"
"20403","FUNDACAO CASA DE RUI BARBOSA","42000"
"20404","FUNDACAO BIBLIOTECA NACIONAL","42000"
"20407","FUNDACAO DO CINEMA BRASILEIRO","42000"
"20408","FUNDACAO CULTURAL PALMARES","42000"
"20410","NÃO INFORMADO","20410"
"20411","INSTITUTO DO PATRIMONIO HIST. E ART. NACIONAL","42000"
"20412","FUNDACAO NACIONAL DE ARTES","42000"
"20415","EMPRESA BRASIL DE COMUNICACAO","20000"
"20501","CONSELHO NACIONAL DE DES.CIENT.E TECNOLOGICO","24000"
"20502","FINANCIADORA DE ESTUDOS E PROJETOS","24000"
"20503","FUNDACAO CENTRO TECNOLOGICO PARA INFORMATICA","24000"
"20601","SUPERINTENDENCIA DO DESENVOLV. DO NORDESTE","53000"
"20602","SUPERINTENDENCIA DO DESENVOLV. DA AMAZONIA","53000"
"20603","SUPERINTENDENCIA DA ZONA FRANCA DE MANAUS","28000"
"20604","INSTITUTO BRASILEIRO DE TURISMO","54000"
"20605","COMPANHIA DE DESENVOLVIMENTO DE BARCARENA","44000"
"20701","INST.BRAS.DO MEIO AMB.E DOS REC.NAT.RENOVAV.","44000"
"20801","SECRETARIA DE PATRIMONIO DA UNIAO/MP","20113"
"20802","SUBSECRETARIA DE PLANEJ.,ORCAMENTO E ADM./MP","20113"
"20924","FUNDO NACIONAL DE DESENVOLVIMENTO","28000"
"20928","Fundo Nacional para a Crinaca e o Adolescente","20000"
"20930","SECRETARIA DE AVIAÇÃO CIVIL","20000"
"22000","MINIST. DA AGRICUL.,PECUARIA E ABASTECIMENTO","22000"
"22201","INSTIT. NAC. DE COLONIZACAO E REFORMA AGRARIA","22201"
"22202","EMPRESA BRASILEIRA DE PESQUISA AGROPECUARIA","22000"
"22203","COMPANHIA DE DESENV. DO VALE DO SAO FRANCISCO","53000"
"22204","DEPARTAMENTO NAC.DE OBRAS CONTRA AS SECAS","53000"
"22207","COMPANHIA DE COLONIZACAO DO NORDESTE","22201"
"22211","COMPANHIA NACIONAL DE ABASTECIMENTO","22000"
