cod_programa_siconv,data_disponibilizacao,data_fim_beneficiario_especifico,data_fim_emenda_parlamentar,data_fim_recebimento_propostas,data_inicio_beneficiario_especifico,data_inicio_emenda_parlamentar,data_inicio_recebimento_propostas,nome,obriga_plano_trabalho,orgao_executor,orgao_mandatario,orgao_superior,orgao_vinculado
"360002090001","2009-08-25",,,"2009-11-30",,,,"1220.8535.0000 - Estruturação de Unidades de Atenção Especializada em Saúde - Emenda Parlamentar - 25330004","True","36000","25220","36000","36000"
"1400020080002","2008-10-22",,,"2008-10-30",,,"2008-09-12","Gestão do Processo Eleitoral","False","14000",,"14000","14000"
"1400020100002","2010-07-28","2010-08-31",,,"2010-07-28",,,"GESTÃO DO PROCESSO ELEITORAL","True","14000",,"14000","14000"
"1400020120001","2012-07-21","2012-08-31",,,"2012-07-21",,,"PLEITOS ELEITORAIS","True","14000",,"14000","14000"
"1410520120001","2012-08-21",,,"2012-08-24",,,"2012-08-21","Gestão do Processo Eleitoral","True","14105",,"14000","14105"
"1410920120001","2012-03-19",,,"2012-05-29",,,"2012-05-15","Gestão do Processo Eleitoral","True","14109",,"14000","14109"
"1411320100001","2010-08-02",,,"2010-08-27",,,"2010-08-02","Gestão do Processo Eleitoral - 0570","True","14113",,"14000","14113"
"1411320120001","2012-06-13",,,"2012-08-17",,,"2012-06-13","0570 - Gestão do Processo Eleitoral","True","14113",,"14000","14113"
"1412620120001","2012-08-28","2012-09-04",,,"2012-08-28",,,"Gestão do Processo Eleitoral","True","14126",,"14000","14126"
"1700020100001","2010-08-27","2010-09-10",,,"2010-08-27",,,"1389 - Controle da Atuação Administrativa e Financeira no Poder Judiciário","True","17000",,"17000","17000"
"2010120080008","2008-08-29",,,"2008-12-01",,,"2008-09-01","1086 - Promoção e Defesa dos Direitos das Pessoas com Deficiência - CONVÊNIOS","False","20101",,"20000","20101"
"2010120080011","2008-09-03",,,"2008-11-30",,,"2008-09-01","0156 - Prevenção e Enfrentamento da Violência Contra as Mulheres","True","20101",,"20000","20101"
"2010120080012","2008-09-03",,,"2008-11-30",,,"2008-09-01","0156 - Prevenção e Enfrentamento da Violência Contra as Mulheres","True","20101",,"20000","20101"
"2010120080013","2008-09-03",,,"2008-11-30",,,"2008-09-01","0156 - Prevenção e Enfrentamento da Violência Contra as Mulheres","True","20101",,"20000","20101"
"2010120080014","2008-09-12",,,"2008-11-30",,,"2008-09-01","0156 - Prevenção e Enfrentamento da Violência contra as Mulheres","True","20101",,"20000","20101"
"2010120080015","2008-10-01",,,"2009-12-24",,,"2008-10-05","1453 - Nacional de Segurança Pública com Cidadania - PRONASCI - [SENAD] - VIVAVOZ","True","20101",,"20000","20101"
"2010120080016","2008-09-16",,,"2008-12-15",,,"2008-09-01","1336 Brasil Quilombola","True","20101",,"20000","20101"
"2010120080017","2008-09-12",,,"2008-11-30",,,"2008-09-01","1433 - Cidadania e Efetivação de Direitos das Mulheres","True","20101",,"20000","20101"
"2010120080018","2008-09-15",,,"2008-11-30",,,"2008-09-01","1433 - Cidadania e Efetivação de Direitos das Mulheres","True","20101",,"20000","20101"
"2010120080019","2008-09-15",,,"2008-11-30",,,"2008-09-01","1433 - Cidadania e Efetivação de Direitos das Mulheres","True","20101",,"20000","20101"
"2010120080020","2008-09-15",,,"2008-11-30",,,"2008-09-01","1433 - Cidadania e Efetivação de Direitos das Mulheres","True","20101",,"20000","20101"
"2010120080021","2008-09-15",,,"2008-11-30",,,"2008-09-01","1433 - Cidadania e Efetivação de Direitos das Mulheres","True","20101",,"20000","20101"
"2010120080024","2008-09-16",,,"2008-12-15",,,"2008-09-01","1336  - Brasil Quilombola","True","20101",,"20000","20101"
"2010120080027","2008-10-06",,,"2008-12-01",,,"2008-07-01","0073 - Enfrentamento da Violência Sexual contra Crianças e Adolescentes - TERMOS DE PARCERIA","False","20101",,"20000","20101"
"2010120080028","2008-10-06",,,"2008-12-01",,,"2008-09-01","0152 - Sistema Nacional de Atendimento Socioeducativo ao Adolescente em Conflito com a Lei - Pró-Sinase - TERMOS DE PARCERIA","False","20101",,"20000","20101"
"2010120080033","2008-10-07",,,"2008-12-01",,,"2008-07-01","1402 - Educação em Direitos Humanos - TERMO DE PARCERIA","False","20101",,"20000","20101"
"2010120080036","2008-10-07",,,"2008-12-01",,,"2008-09-01","1086 - Promoção e Defesa dos Direitos das Pessoas com Deficiência - TERMOS DE PARCERIA","False","20101",,"20000","20101"
"2010120080039","2008-10-10",,,"2008-11-30",,,"2008-10-10","0797 Prospecção e Avaliação de Políticas Públicas","False","20101",,"20000","20101"
"2010120080040","2008-10-10",,,"2008-11-30",,,"2008-10-10","0797 - Prospecção e Avaliação de Políticas Públicas","True","20101",,"20000","20101"
"2010120080041","2008-10-15",,,"2009-11-30",,,"2008-10-15","0665 - GESTÃO DA POLÍTICA NACIONAL SOBRE DROGAS-Estados - [SENAD]","True","20101",,"20000","20101"
"2010120080042","2008-10-23",,,"2009-11-18",,,"2008-10-22","0665 - Gestão da Política Nacional sobre Drogas - Relatório - [SENAD]","True","20101",,"20000","20101"
"2010120080043","2008-10-23",,,"2008-11-28",,,"2008-10-23","0665 - Gestão da Política Nacional sobre Drogas - Levantamento - [SENAD]","True","20101",,"20000","20101"
"2010120080045","2008-11-04",,,"2008-11-20",,,"2008-10-31","0665 - Gestão da Política Nacional sobre Drogas - TRF - [SENAD]","True","20101",,"20000","20101"
"2010120080048","2008-11-26",,,"2008-11-28",,,"2008-11-26","0665 - Gestão da Política Nacional sobre Drogas - INCA - [SENAD]","True","20101",,"20000","20101"
"2010120080050","2008-11-28",,,"2008-12-31",,,"2008-11-28","26.784.1459.7L86.0022 - Obras de Infra-Estrutura no Porto de Luís Correia/PI","True","20128",,"20000","20101"
"2010120080051","2008-11-28",,,"2008-12-31",,,"2008-11-28","26.784.1459.11XL.0056 - Dragagem de Aprofundamento no Porto de Cabedelo","True","20128",,"20000","20101"
"2010120080052","2008-11-28",,,"2008-12-31",,,"2008-11-28","Apoio a implantação e modernização de - Implantação de Centro Vocacional Tecnológico na Companhia Docas do Ceará","True","20128",,"20000","20101"
"2010120080053","2008-11-28",,,"2008-12-31",,,"2008-11-28","26.784.1459.7J13.0023 - Dragagem de Aprofundamento no Porto de Pecém","True","20128",,"20000","20101"
"2010120080054","2008-11-28",,,"2008-12-31",,,"2008-11-28","Centro de inclusão digital do CVT da Companhia Docas do Ceará","True","20128",,"20000","20101"
"2010120090002","2009-02-19",,,"2009-08-29",,,"2009-02-19","1453 - Programa Nacional de Segurança Pública com Cidadania - Capacitação de Operadores do Direito - [SENAD]","True","20101",,"20000","20101"
"2010120090027","2009-04-24",,,"2009-05-30",,,"2009-04-24","Prospecção e Avaliação de Políticas Públicas","True","25206",,"20000","20101"
"2010120090028","2009-04-24",,,"2009-05-25",,,"2009-04-27","0750 - Apoio Administrativo","True","20128",,"20000","20101"
"2010120090029","2009-04-30",,,"2009-12-07",,,"2009-04-30","1453 - Programa Nacional de Segurança Pública com Cidadania - Projetos vinculados à  PNAD [SENAD]","True","20101",,"20000","20101"
"2010120090030","2009-04-30",,,"2009-12-07",,,"2009-04-30","0665 - Gestão da Política Nacional sobre Drogas - Subveção Social - [SENAD]","True","20101",,"20000","20101"
"2010120090031","2009-09-25",,,"2009-10-15",,,"2009-09-14","0665 - Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120090032","2009-09-18",,,"2010-12-09",,,"2009-09-18","Gestão Portuária por Resultados - GPPR","True","20101",,"20000","20101"
"2010120090036","2009-11-20",,,"2009-11-30",,,"2009-11-20","0665 - Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120090037","2009-11-30","2010-08-13",,,"2010-07-14",,,"1470 - GESTÃO DA POLÍTICA PORTUÁRIA","True","20128",,"20000","20101"
"2010120090038","2009-11-30",,,"2009-12-30",,,"2009-11-30","1458 Vetor Logistico Leste","True","20128",,"20000","20101"
"2010120090039","2009-12-01",,,"2009-12-08",,,"2009-12-01","0665 - Gestãoda Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120090040","2009-12-08",,,"2009-12-09",,,"2009-12-08","01453 -Programa Nacional de Segurança Pública com Cidadania [SENAD]","True","20101",,"20000","20101"
"2010120100001","2010-04-13",,,"2010-12-31",,,"2010-04-13","MODERNIZAÇÃO DO TERMINAL PORTUÁRIO DE USO MISTO DO PECÉM/CE","True","20128",,"20000","20101"
"2010120100003","2010-04-20",,,"2010-04-30",,,"2010-04-20","1109 - MASSIFICAÇÃO DA CERTIFICAÇÃO DIGITAL - ICP BRASIL","True","20101",,"20000","20101"
"2010120100007","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100011","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100012","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100013","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100014","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100015","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100016","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100017","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100021","2010-04-30",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100024","2010-05-04",,"2010-10-30",,,"2010-04-30",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100030","2010-05-03",,"2010-10-31",,,"2010-05-03",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100033","2010-05-03",,"2010-10-31",,,"2010-05-03",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100034","2010-05-03",,"2010-10-31",,,"2010-05-03",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100038","2010-05-06",,"2010-10-31",,,"2010-05-06",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100039","2010-05-06",,"2010-10-31",,,"2010-05-06",,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100040","2010-05-21",,,"2010-12-31",,,"2010-05-18","RECUPERAÇÃO DOS MOLHES DE ITAJAÍ","True","20128",,"20000","20101"
"2010120100043","2010-06-07",,,"2010-12-31",,,"2010-06-07","Obras e Serviços de Recuperação do Porto de Santo Antônio, em Fernando de Noronha/PE","True","20128",,"20000","20101"
"2010120100048","2010-08-03",,,"2010-12-31",,,"2010-08-03","Obras e Serviços de Recuperação do Porto de Santo Antônio, em Fernando de Noronha/PE","True","20128",,"20000","20101"
"2010120100049","2010-08-03",,,"2010-12-31",,,"2010-08-03","Obras e serviços de infraestrutura no Porto de Santo Antonio em Fernando de Noronha/PE","True","20128",,"20000","20101"
"2010120100051","2010-09-06","2010-09-17",,,"2010-09-06",,,"Gestão de Políticas na Área da Presidência da República","True","20101",,"20000","20101"
"2010120100053","2010-11-03",,,"2011-12-31",,,"2011-03-28","Melhoramento da Infraestrutura Portuária no Porto de Suape/PE","True","20128",,"20000","20101"
"2010120100059","2010-12-06","2010-12-10",,,"2010-12-06",,,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100060","2010-12-06","2010-12-10",,,"2010-12-06",,,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100062","2010-12-06","2010-12-10",,,"2010-12-06",,,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100064","2010-12-06","2010-12-10",,,"2010-12-06",,,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100068","2010-12-09",,,"2010-12-22",,,"2010-12-09","Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100069","2010-12-09","2010-12-10",,,"2010-12-09",,,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100070","2010-12-13","2010-12-15",,,"2010-12-13",,,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100071","2010-12-17","2010-12-17",,,"2010-12-17",,,"Gestão da Política Nacional sobre Drogas [SENAD]","True","20101",,"20000","20101"
"2010120100072","2010-12-17","2010-12-28",,,"2010-10-27",,,"Logística Intermodal","True","20128",,"20000","20101"
"2010120110055","2011-04-27",,,"2011-12-31",,,"2011-04-27","Recuperação dos Molhes de Itajaí/SC","True","20128",,"20000","20101"
